5222.KL,Felda Global Ventures Holdings Berhad,5222.KL
0097.KL,VITROX CORPORATION BHD,0097.KL
0069.KL,VIVOCOM INTL HOLDINGS BERHAD,0069.KL
0066@BN.KL,0066@BN.KL,0066@BN.KL
5049@BN.KL,5049@BN.KL,5049@BN.KL
0083.KL,NOTION VTEC BHD,0083.KL
5021.KL,AYS Ventures Berhad,5021.KL
8206.KL,Eco World Development Group Berhad,8206.KL
7245.KL,WZ Satu Berhad,7245.KL
5142.KL,Wah Seong Corporation Berhad,5142.KL
5007.KL,Chin Well Holdings Berhad,5007.KL
4243.KL,WTK Holdings Bhd,4243.KL
0008.KL,WILLOWGLEN MSC BHD,0008.KL
7374.KL,Tien Wah Press Holdings Bhd,7374.KL
9601@BN.KL,9601@BN.KL,9601@BN.KL
7203.KL,Wang-Zheng Berhad,7203.KL
2976.KL,Wing Tai Malaysia Berhad,2976.KL
5098@BN.KL,5098@BN.KL,5098@BN.KL
1589@BN.KL,1589@BN.KL,1589@BN.KL
5260@DB.KL,5260@DB.KL,5260@DB.KL
8206@BN.KL,8206@BN.KL,8206@BN.KL
0103.KL,MNC WIRELESS BHD,0103.KL
7226.KL,Watta Holding Bhd,7226.KL
5007@BN.KL,5007@BN.KL,5007@BN.KL
5188@BN.KL,5188@BN.KL,5188@BN.KL
5238.KL,AirAsia X Berhad,5238.KL
5267.KL,XIN HWA HOLDINGS BERHAD,5267.KL
5156@BN.KL,5156@BN.KL,5156@BN.KL
0095.KL,XINGHE HOLDINGS BERHAD,0095.KL
0165.KL,XOX BHD,0165.KL
5155.KL,Xingquan International Sports Holdings Limited,5155.KL
5155@OM.KL,XINGQUAN INT SPORTS HLDG LTD,5155@OM.KL
0165@BN.KL,0165@BN.KL,0165@BN.KL
5238@BN.KL,5238@BN.KL,5238@BN.KL
0095@BN.KL,0095@BN.KL,0095@BN.KL
5267@BN.KL,5267@BN.KL,5267@BN.KL
7184.KL,Yen Global Berhad,7184.KL
7178@BN.KL,7178@BN.KL,7178@BN.KL
7122@BN.KL,7122@BN.KL,7122@BN.KL
7066.KL,Yong Tai Berhad,7066.KL
7003.KL,Y&G Corporation Bhd,7003.KL
6742.KL,YTL Power International Berhad,6742.KL
5584.KL,Yee Lee Corporation Bhd,5584.KL
5048@BN.KL,5048@BN.KL,5048@BN.KL
4677.KL,YTL Corporation Berhad,4677.KL
2577.KL,YTL Land & Development Bhd,2577.KL
0086.KL,YGL CONVERGENCE BHD,0086.KL
4677@BN.KL,4677@BN.KL,4677@BN.KL
5048.KL,Yi-Lai Bhd,5048.KL
7020.KL,YKGI Holdings Berhad,7020.KL
6742@BN.KL,6742@BN.KL,6742@BN.KL
7178.KL,Y.S.P. Southeast Asia Holding Berhad,7178.KL
0086@BN.KL,0086@BN.KL,0086@BN.KL
5062@BN.KL,5062@BN.KL,5062@BN.KL
0009.KL,0009.KL,0009.KL
7066@BN.KL,7066@BN.KL,7066@BN.KL
7003@BN.KL,7003@BN.KL,7003@BN.KL
3158@BN.KL,3158@BN.KL,3158@BN.KL
2577@BN.KL,2577@BN.KL,2577@BN.KL
7122.KL,YFG Berhad,7122.KL
5584@BN.KL,5584@BN.KL,5584@BN.KL
3158.KL,Ynh Property Berhad,3158.KL
5159@BN.KL,5159@BN.KL,5159@BN.KL
5173.KL,Shin Yang Shipping Corporation Berhad,5173.KL
5109.KL,YTL Hospitality REIT,5109.KL
7014.KL,YLI Holdings Bhd,7014.KL
7293@BN.KL,7293@BN.KL,7293@BN.KL
5062.KL,Hua Yang Bhd,5062.KL
7028.KL,Zecon Berhad,7028.KL
2283.KL,Zelan Berhad (27676-V),2283.KL
7078.KL,Ahmad Zaki Resources Berhad,7078.KL
5131.KL,Zhulian Corporation Berhad,5131.KL
5131@BN.KL,5131@BN.KL,5131@BN.KL
2283@BN.KL,2283@BN.KL,2283@BN.KL
7028@BN.KL,7028@BN.KL,7028@BN.KL
7086.KL,AbleGroup Berhad,7086.KL
5198.KL,ABM Fujiya Berhad,5198.KL
7061@BN.KL,7061@BN.KL,7061@BN.KL
7086@BN.KL,7086@BN.KL,7086@BN.KL
0800EA.KL,ABF Malaysia Bond Index Fund,0800EA.KL
7061.KL,Abric Berhad,7061.KL
0800EA@OM.KL,0800EA@OM.KL,0800EA@OM.KL
5198@BN.KL,5198@BN.KL,5198@BN.KL
7061@OM.KL,7061@OM.KL,7061@OM.KL
7120@BN.KL,7120@BN.KL,7120@BN.KL
5924.KL,MTD ACPI Engineering Berhad,5924.KL
5134.KL,Southern Acids M Bhd,5134.KL
7120.KL,Acoustech Berhad,7120.KL
7131.KL,ACME Holdings Berhad,7131.KL
5924@BN.KL,5924@BN.KL,5924@BN.KL
7191.KL,Adventa Bhd,7191.KL
9148@BN.KL,9148@BN.KL,9148@BN.KL
0122@BN.KL,0122@BN.KL,0122@BN.KL
9148.KL,Advanced Packaging Technology M Bhd,9148.KL
0122.KL,ADVANCE INFORMATION MARKETING,0122.KL
5139@BN.KL,5139@BN.KL,5139@BN.KL
5139.KL,Aeon Credit Service M Bhd,5139.KL
7146.KL,AE Multi Holdings Berhad,7146.KL
0181.KL,AEMULUS HOLDINGS BERHAD,0181.KL
6599@BN.KL,6599@BN.KL,6599@BN.KL
0181@BN.KL,0181@BN.KL,0181@BN.KL
5185.KL,Affin Holdings Bhd,5185.KL
5185@BN.KL,5185@BN.KL,5185@BN.KL
7315@BN.KL,7315@BN.KL,7315@BN.KL
7315.KL,AHB Holdings Berhad,7315.KL
5099@BN.KL,5099@BN.KL,5099@BN.KL
5014@BN.KL,5014@BN.KL,5014@BN.KL
7609.KL,Ajiya Berhad,7609.KL
2658@BN.KL,2658@BN.KL,2658@BN.KL
2658.KL,Ajinomoto Malaysia Bhd,2658.KL
9326.KL,LB Aluminium Bhd,9326.KL
5115.KL,Alam Maritim Resources Berhad,5115.KL
2488.KL,Alliance Financial Group Berhad.,2488.KL
1163.KL,Allianz Malaysia Berhad,1163.KL
9814.KL,Bertam Alliance Bhd,9814.KL
5116@BN.KL,5116@BN.KL,5116@BN.KL
5115@BN.KL,5115@BN.KL,5115@BN.KL
2674.KL,Aluminium Co. of Malaysia Bhd,2674.KL
5116.KL,Al-'Aqar Healthcare REIT,5116.KL
1163PA.KL,Allianz Malaysia Berhad,1163PA.KL
2488@BN.KL,2488@BN.KL,2488@BN.KL
1163@BN.KL,1163@BN.KL,1163@BN.KL
9326@BN.KL,9326@BN.KL,9326@BN.KL
5269.KL,AL-SALAM REAL ESTATE INVESTMENT,5269.KL
0036.KL,KEY ALLIANCE GROUP BERHAD,0036.KL
5120@BN.KL,5120@BN.KL,5120@BN.KL
1015.KL,AMMB Holdings Berhad,1015.KL
0166.KL,INARI AMERTRON BERHAD,0166.KL
7051.KL,AMTEK Holdings Berhad,7051.KL
5127.KL,AmanahRaya Real Estate Investment Trust,5127.KL
1007@BN.KL,1007@BN.KL,1007@BN.KL
1007.KL,Amcorp Properties Berhad,1007.KL
5127@BN.KL,5127@BN.KL,5127@BN.KL
1015@BN.KL,1015@BN.KL,1015@BN.KL
5120.KL,AmFirst Real Estate Investment Trust,5120.KL
1007PA.KL,Amcorp Properties Berhad,1007PA.KL
2682.KL,Amalgamated Industrial Steel Berhad,2682.KL
4952@BN.KL,4952@BN.KL,4952@BN.KL
4162@BN.KL,4162@BN.KL,4162@BN.KL
7031@BN.KL,7031@BN.KL,7031@BN.KL
7031.KL,Amtel Holdings Berhad,7031.KL
4952.KL,Amanah Harta Tanah PNB,4952.KL
0166@BN.KL,0166@BN.KL,0166@BN.KL
7083.KL,Analabs Resources Berhad,7083.KL
3255.KL,Heineken Malaysia Berhad,3255.KL
0048.KL,ANCOM LOGISTICS BERHAD,0048.KL
4758.KL,Ancom Berhad,4758.KL
5012@BN.KL,5012@BN.KL,5012@BN.KL
3255@BN.KL,3255@BN.KL,3255@BN.KL
9342.KL,Anzo Holdings Berhad,9342.KL
5186@BN.KL,5186@BN.KL,5186@BN.KL
6556.KL,Ann Joo Resources Berhad,6556.KL
5012.KL,TA Ann Holdings Bhd,5012.KL
0048@BN.KL,0048@BN.KL,0048@BN.KL
5186.KL,Malaysia Marine and Heavy Engineering Holdings Berhad,5186.KL
4758@BN.KL,4758@BN.KL,4758@BN.KL
5194.KL,APFT Berhad,5194.KL
5088.KL,Apex Equity Holdings Berhad,5088.KL
6432@BN.KL,6432@BN.KL,6432@BN.KL
5015@BN.KL,5015@BN.KL,5015@BN.KL
7090@BN.KL,7090@BN.KL,7090@BN.KL
5015.KL,APM Automotive Holdings Berhad,5015.KL
7090.KL,Apex Healthcare Berhad,7090.KL
0119.KL,APPASIA BERHAD,0119.KL
5568.KL,APB Resources Berhad,5568.KL
5088@BN.KL,5088@BN.KL,5088@BN.KL
5226.KL,Gabungan AQRS Berhad,5226.KL
5226@BN.KL,5226@BN.KL,5226@BN.KL
0098@BN.KL,0098@BN.KL,0098@BN.KL
0098.KL,BORNEO AQUA HARVEST BHD,0098.KL
5210.KL,Bumi Armada Berhad,5210.KL
5210@BN.KL,5210@BN.KL,5210@BN.KL
7007.KL,ARK Resources Berhad,7007.KL
7986.KL,CN Asia Corp.Bhd,7986.KL
6399.KL,Astro Malaysia Holdings Berhad,6399.KL
7722.KL,Asia Brands Berhad,7722.KL
0152.KL,DGB ASIA BERHAD,0152.KL
7070@BN.KL,7070@BN.KL,7070@BN.KL
3239@BN.KL,3239@BN.KL,3239@BN.KL
0039@OM.KL,0039@OM.KL,0039@OM.KL
9954@BN.KL,9954@BN.KL,9954@BN.KL
0039.KL,GFM SERVICES BERHAD,0039.KL
7070.KL,Astral Supreme Berhad,7070.KL
0176@DB.KL,0176@DB.KL,0176@DB.KL
0822EA.KL,CIMB FTSE Asean 40 Malaysia Fund,0822EA.KL
5166.KL,ASIAMET Education Group Berhad,5166.KL
0173.KL,REV ASIA BERHAD,0173.KL
7054.KL,Astral Asia Berhad,7054.KL
0152@BN.KL,0152@BN.KL,0152@BN.KL
0039@BN.KL,0039@BN.KL,0039@BN.KL
0135.KL,SCAN ASSOCIATES BHD,0135.KL
7162@BN.KL,7162@BN.KL,7162@BN.KL
7054@BN.KL,7054@BN.KL,7054@BN.KL
0105.KL,ASIA POLY HOLDINGS BHD,0105.KL
7129.KL,Asia File Corporation Bhd.,7129.KL
0176.KL,KRONOLOGI ASIA BERHAD,0176.KL
0150.KL,ASIA BIOENERGY TECH BHD,0150.KL
0135@BN.KL,0135@BN.KL,0135@BN.KL
7986@BN.KL,7986@BN.KL,7986@BN.KL
4057@BN.KL,4057@BN.KL,4057@BN.KL
0068.KL,ASDION BHD,0068.KL
0150@BN.KL,0150@BN.KL,0150@BN.KL
0143.KL,KEY ASIC BHD,0143.KL
0826EA.KL,MYETF THOMSON REUTERS ASIA PACI,0826EA.KL
4057.KL,Asian Pac Holdings Berhad,4057.KL
5166@BN.KL,5166@BN.KL,5166@BN.KL
7722@BN.KL,7722@BN.KL,7722@BN.KL
6399@BN.KL,6399@BN.KL,6399@BN.KL
0173@BN.KL,0173@BN.KL,0173@BN.KL
0159.KL,ASIA MEDIA GROUP BERHAD,0159.KL
3239.KL,Berjaya Assets Berhad,3239.KL
0159@BN.KL,0159@BN.KL,0159@BN.KL
7129@BN.KL,7129@BN.KL,7129@BN.KL
7048.KL,Atlan Holdings Bhd,7048.KL
5130.KL,Atrium Real Estate Investment Trust,5130.KL
0072.KL,AT SYSTEMATIZATION BHD,0072.KL
7099.KL,Atta Global Group Berhad,7099.KL
7181.KL,Aturmaju Resources Berhad,7181.KL
0072@BN.KL,0072@BN.KL,0072@BN.KL
5248.KL,Berjaya Auto Berhad,5248.KL
5229.KL,China Automobile Parts Holdings Limited,5229.KL
7579@BN.KL,7579@BN.KL,7579@BN.KL
6888.KL,Axiata Group Berhad,6888.KL
6888@BN.KL,6888@BN.KL,6888@BN.KL
5106@BN.KL,5106@BN.KL,5106@BN.KL
5106.KL,Axis Real Estate Investment Trust,5106.KL
5021@BN.KL,5021@BN.KL,5021@BN.KL
2569.KL,Sungei Bagan Rubber Co. Malaya Bhd,2569.KL
2569@BN.KL,2569@BN.KL,2569@BN.KL
1295@BN.KL,1295@BN.KL,1295@BN.KL
7251@BN.KL,7251@BN.KL,7251@BN.KL
6602.KL,BCB Berhad,6602.KL
7165.KL,Spring Gallery Berhad,7165.KL
6114.KL,MKH Berhad,6114.KL
5263.KL,SUNWAY CONSTRUCTION GROUP BERHA,5263.KL
5251.KL,Tanah Makmur Berhad,5251.KL
3743.KL,Sunsuria Berhad,3743.KL
8613.KL,ENRA Group Berhad,8613.KL
7595.KL,ML Global Berhad,7595.KL
7253.KL,Handal Resources Berhad,7253.KL
7249.KL,Ewein Berhad,7249.KL
7237.KL,Power Root Berhad,7237.KL
7214.KL,A-Rank Berhad,7214.KL
7213.KL,Hovid Berhad,7213.KL
7211.KL,TAFI Industries Berhad,7211.KL
7207.KL,Success Transformer Corporation Berhad,7207.KL
7186.KL,SWS Capital Berhad,7186.KL
7108.KL,Perdana Petroleum Berhad,7108.KL
7105.KL,HCK Capital Group Berhad,7105.KL
7079.KL,Tiger Synergy Berhad,7079.KL
6262@BN.KL,6262@BN.KL,6262@BN.KL
6149.KL,Metrod Holdings Berhad,6149.KL
5265.KL,DOLPHIN INTERNATIONAL BERHAD,5265.KL
5256.KL,Reach Energy Berhad,5256.KL
5250.KL,7-Eleven Malaysia Holdings Berhad,5250.KL
5241.KL,Sona Petroleum Berhad,5241.KL
5239.KL,Titijaya Land Berhad,5239.KL
5228.KL,ELK-Desa Resources Berhad,5228.KL
5211.KL,Sunway Berhad,5211.KL
5205.KL,Eversendai Corporation Berhad,5205.KL
5202.KL,MSM Malaysia Holdings Berhad,5202.KL
5140.KL,TASCO Berhad,5140.KL
5136.KL,Complete Logistic Services Berhad,5136.KL
5133.KL,Petra Energy Berhad,5133.KL
5129.KL,Melati Ehsan Holdings Berhad,5129.KL
5113.KL,Rimbunan Sawit Berhad,5113.KL
5108.KL,iCapital.biz Berhad,5108.KL
5107.KL,IQ Group Holdings Berhad,5107.KL
5105.KL,Can-One Berhad,5105.KL
4731.KL,Scientex Berhad,4731.KL
4022.KL,Tadmax Resources Berhad,4022.KL
2291.KL,Genting Plantations Berhad,2291.KL
1538.KL,Symphony Life Berhad,1538.KL
1198.KL,MAA Group Berhad,1198.KL
0149@BN.KL,0149@BN.KL,0149@BN.KL
0081.KL,MEGA SUN CITY HOLDINGS BERHAD,0081.KL
0055@BN.KL,0055@BN.KL,0055@BN.KL
0045.KL,G NEPTUNE BERHAD,0045.KL
0034.KL,MMAG HOLDINGS BERHAD,0034.KL
5265@BN.KL,5265@BN.KL,5265@BN.KL
5219@BN.KL,5219@BN.KL,5219@BN.KL
7143@OM.KL,STONE MASTER CORPORATION BHD,7143@OM.KL
5190@BN.KL,5190@BN.KL,5190@BN.KL
4022@BN.KL,4022@BN.KL,4022@BN.KL
0154.KL,EA HOLDINGS BERHAD,0154.KL
7889@BN.KL,7889@BN.KL,7889@BN.KL
5152.KL,Muar Ban Lee Group Berhad,5152.KL
2291@BN.KL,2291@BN.KL,2291@BN.KL
0180.KL,KIM TECK CHEONG CONSOLIDATED BE,0180.KL
0161.KL,SCH GROUP BERHAD,0161.KL
8419.KL,Pansar Bhd,8419.KL
0074.KL,GREEN OCEAN CORPORATION BERHAD,0074.KL
5211@BN.KL,5211@BN.KL,5211@BN.KL
4219.KL,Berjaya Land Berhad,4219.KL
5264.KL,MALAKOFF CORPORATION BERHAD,5264.KL
8613@BN.KL,8613@BN.KL,8613@BN.KL
5149.KL,TAS Offshore Berhad,5149.KL
9474.KL,Brahim's Holdings Berhad,9474.KL
5157.KL,Saudee Group Berhad,5157.KL
5254.KL,Boustead Plantations Berhad,5254.KL
5237.KL,MPHB Capital Berhad,5237.KL
9776.KL,Farm's Best Bhd,9776.KL
5149@BN.KL,5149@BN.KL,5149@BN.KL
7233.KL,Dufu Technology Corp. Berhad,7233.KL
0112@BN.KL,0112@BN.KL,0112@BN.KL
0158@BN.KL,0158@BN.KL,0158@BN.KL
5162@BN.KL,5162@BN.KL,5162@BN.KL
7212@BN.KL,7212@BN.KL,7212@BN.KL
5082@OM.KL,5082@OM.KL,5082@OM.KL
8532.KL,Sinotop Holdings Berhad,8532.KL
2259@BN.KL,2259@BN.KL,2259@BN.KL
5191.KL,Tambun Indah Land Berhad,5191.KL
5232.KL,Leon Fuat Berhad,5232.KL
0167@OM.KL,0167@OM.KL,0167@OM.KL
5253.KL,Econpile Holdings Berhad,5253.KL
0116.KL,FOCUS DYNAMICS GROUP BERHAD,0116.KL
5208@BN.KL,5208@BN.KL,5208@BN.KL
6012@BN.KL,6012@BN.KL,6012@BN.KL
0056.KL,GRAND-FLO BERHAD,0056.KL
7161.KL,Kerjaya Prospek Group Berhad,7161.KL
5160@BN.KL,5160@BN.KL,5160@BN.KL
5606PA.KL,Goldis Berhad,5606PA.KL
0041.KL,PANPAGES BERHAD,0041.KL
5184@BN.KL,5184@BN.KL,5184@BN.KL
5184.KL,Cypark Resources Berhad,5184.KL
0118@BN.KL,0118@BN.KL,0118@BN.KL
5196.KL,Berjaya Food Berhad,5196.KL
2127.KL,Comfort Gloves Berhad,2127.KL
0170@BN.KL,0170@BN.KL,0170@BN.KL
0112.KL,MIKRO MSC BERHAD,0112.KL
5219.KL,Pestech International Berhad,5219.KL
5216@BN.KL,5216@BN.KL,5216@BN.KL
0161@BN.KL,0161@BN.KL,0161@BN.KL
7168@BN.KL,7168@BN.KL,7168@BN.KL
3069OR.KL,MEGA FIRST CORPORATION BERHAD-O,3069OR.KL
5250@BN.KL,5250@BN.KL,5250@BN.KL
0156@BN.KL,0156@BN.KL,0156@BN.KL
5230.KL,Tune Protect Group Berhad,5230.KL
5213@BN.KL,5213@BN.KL,5213@BN.KL
7137@OM.KL,7137@OM.KL,7137@OM.KL
0055.KL,SERSOL BERHAD,0055.KL
0156.KL,MANAGEPAY SYSTEMS BERHAD,0156.KL
5259@DB.KL,5259@DB.KL,5259@DB.KL
0060.KL,SKH CONSORTIUM BERHAD,0060.KL
7079@BN.KL,7079@BN.KL,7079@BN.KL
9741@BN.KL,9741@BN.KL,9741@BN.KL
5835PA.KL,Dolomite Corporation Berhad,5835PA.KL
5204@BN.KL,5204@BN.KL,5204@BN.KL
5148@BN.KL,5148@BN.KL,5148@BN.KL
5182.KL,MCT Berhad,5182.KL
0123.KL,PRIVASIA TECHNOLOGY BERHAD,0123.KL
1058@OM.KL,1058@OM.KL,1058@OM.KL
4456@BN.KL,4456@BN.KL,4456@BN.KL
3794@BN.KL,3794@BN.KL,3794@BN.KL
0104.KL,GENETEC TECHNOLOGY BERHAD,0104.KL
9806@OM.KL,9806@OM.KL,9806@OM.KL
1198@BN.KL,1198@BN.KL,1198@BN.KL
3859.KL,Magnum Berhad,3859.KL
5183.KL,Petronas Chemicals Group Berhad,5183.KL
9474@BN.KL,9474@BN.KL,9474@BN.KL
5200@BN.KL,5200@BN.KL,5200@BN.KL
5237@BN.KL,5237@BN.KL,5237@BN.KL
4715@BN.KL,4715@BN.KL,4715@BN.KL
2542@OM.KL,RIVERVIEW RUBBER ESTATES BHD,2542@OM.KL
5208.KL,EITA Resources Berhad,5208.KL
5189.KL,Maxwell International Holdings Berhad,5189.KL
0080@BN.KL,0080@BN.KL,0080@BN.KL
7206PB.KL,TH HEAVY ENGINEERING BERHAD-ISL,7206PB.KL
9628.KL,Lebtech Berhad,9628.KL
5797@BN.KL,5797@BN.KL,5797@BN.KL
5167.KL,Turbo-Mech Berhad,5167.KL
5078@BN.KL,5078@BN.KL,5078@BN.KL
0154@BN.KL,0154@BN.KL,0154@BN.KL
7240.KL,Voir Holdings Berhad,7240.KL
7206@BN.KL,7206@BN.KL,7206@BN.KL
0118.KL,TRIVE PROPERTY GROUP BERHAD,0118.KL
0169@BN.KL,0169@BN.KL,0169@BN.KL
5242.KL,Solid Automotive Berhad,5242.KL
0034@BN.KL,0034@BN.KL,0034@BN.KL
1058.KL,Manulife Holdings Berhad,1058.KL
7163@OM.KL,7163@OM.KL,7163@OM.KL
7149@OM.KL,ENG KAH CORPORATION BHD,7149@OM.KL
9741.KL,Tecnic Group Berhad,9741.KL
7889.KL,Thriven Global Berhad,7889.KL
5220.KL,Globaltec Formation Berhad,5220.KL
3743@BN.KL,3743@BN.KL,3743@BN.KL
5197.KL,Focus Lumber Berhad.,5197.KL
9458.KL,Premier Nalfin Berhad,9458.KL
5213.KL,Sentoria Group Berhad,5213.KL
5249.KL,IOI Properties Group Berhad,5249.KL
7246.KL,Signature International Berhad,7246.KL
5078.KL,Silk Holdings Berhad,5078.KL
5401@BN.KL,5401@BN.KL,5401@BN.KL
5205@BN.KL,5205@BN.KL,5205@BN.KL
5181.KL,SIG Gases Berhad,5181.KL
5225.KL,IHH Healthcare Berhad,5225.KL
